STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150908,0,0,72,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150909,0,0,78,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150910,0,0,81,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150911,0,0,86,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150912,0,0,89,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150913,0,0,89,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150914,0,0,56,46
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150915,0,0,58,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150916,0,0,61,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150917,0,0,57,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150918,0,0,66,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150919,0,0,72,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150920,0,0,78,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150921,0,0,73,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150922,0,0,71,36
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150923,0,0,72,35
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150924,0,0,74,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150925,0,0,80,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150926,0,0,70,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150927,0,0,66,29
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150928,0,0,69,30
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150929,0,0,74,33
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150930,0,0,78,36
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151001,0,0,74,45
